Code;Niveau;Description_FR;Description_EN;Groupe_Utilisation;D.D_%;TCI_%;CAC_%;T.V.A_%;Formalites;Total_%
030339;HS6;Autres;Fish;;;;;;;
0303391000;HS10;Autres - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303392000;HS10;Autres - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303399000;HS10;Autres - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030341;HS6;Thons albacores congelés;Albacore tuna;;;;;;;
0303411000;HS10;Thons albacores congelés - Type 1;Albacore tuna - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303412000;HS10;Thons albacores congelés - Type 2;Albacore tuna - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303419000;HS10;Thons albacores congelés - Autre;Albacore tuna - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030342;HS6;Thons à nageoires jaunes congelés;Yellowfin tuna;;;;;;;
0303421000;HS10;Thons à nageoires jaunes congelés - Type 1;Yellowfin tuna - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303422000;HS10;Thons à nageoires jaunes congelés - Type 2;Yellowfin tuna - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303429000;HS10;Thons à nageoires jaunes congelés - Autre;Yellowfin tuna - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030343;HS6;Listaos (bonites à ventre rayé) (Katsuwonus pelamis);Fish;;;;;;;
0303431000;HS10;Listaos (bonites à ventre rayé) (Katsuwonus pelamis) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303432000;HS10;Listaos (bonites à ventre rayé) (Katsuwonus pelamis) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303439000;HS10;Listaos (bonites à ventre rayé) (Katsuwonus pelamis) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030344;HS6;Thons obèses (Thunnus obesus);Fish;;;;;;;
0303441000;HS10;Thons obèses (Thunnus obesus) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303442000;HS10;Thons obèses (Thunnus obesus) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303449000;HS10;Thons obèses (Thunnus obesus) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030345;HS6;Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus;Fish;;;;;;;
0303451000;HS10;Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303452000;HS10;Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303459000;HS10;Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030346;HS6;Thons rouges du sud (Thunnus maccoyii);Fish;;;;;;;
0303461000;HS10;Thons rouges du sud (Thunnus maccoyii) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303462000;HS10;Thons rouges du sud (Thunnus maccoyii) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303469000;HS10;Thons rouges du sud (Thunnus maccoyii) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030349;HS6;Autres;Fish;;;;;;;
0303491000;HS10;Autres - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303492000;HS10;Autres - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303499000;HS10;Autres - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030351;HS6;Harengs congelés;Herrings;;;;;;;
0303511000;HS10;Harengs congelés - Type 1;Herrings - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303512000;HS10;Harengs congelés - Type 2;Herrings - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303519000;HS10;Harengs congelés - Autre;Herrings - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030353;HS6;Sardines congelées;Sardines;;;;;;;
0303531000;HS10;Sardines congelées - Type 1;Sardines - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303532000;HS10;Sardines congelées - Type 2;Sardines - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303539000;HS10;Sardines congelées - Autre;Sardines - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030354;HS6;Maquereaux congelés;Mackerel;;;;;;;
0303541000;HS10;Maquereaux congelés - Type 1;Mackerel - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303542000;HS10;Maquereaux congelés - Type 2;Mackerel - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303549000;HS10;Maquereaux congelés - Autre;Mackerel - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030355;HS6;Chinchards (Trachurus spp.);Fish;;;;;;;
0303551000;HS10;Chinchards (Trachurus spp.) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303552000;HS10;Chinchards (Trachurus spp.) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303559000;HS10;Chinchards (Trachurus spp.) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030356;HS6;Mafous (Rachycentron canadum);Fish;;;;;;;
0303561000;HS10;Mafous (Rachycentron canadum) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303562000;HS10;Mafous (Rachycentron canadum) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303569000;HS10;Mafous (Rachycentron canadum) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030357;HS6;Espadons (Xiphias gladius);Fish;;;;;;;
0303571000;HS10;Espadons (Xiphias gladius) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303572000;HS10;Espadons (Xiphias gladius) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303579000;HS10;Espadons (Xiphias gladius) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030359;HS6;Autres;Fish;;;;;;;
0303591000;HS10;Autres - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303592000;HS10;Autres - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303599000;HS10;Autres - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030363;HS6;Morues congelées;Cod;;;;;;;
0303631000;HS10;Morues congelées - Type 1;Cod - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303632000;HS10;Morues congelées - Type 2;Cod - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303639000;HS10;Morues congelées - Autre;Cod - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030364;HS6;Eglefins (Melanogrammus aeglefinus);Fish;;;;;;;
0303641000;HS10;Eglefins (Melanogrammus aeglefinus) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303642000;HS10;Eglefins (Melanogrammus aeglefinus) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303649000;HS10;Eglefins (Melanogrammus aeglefinus) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030365;HS6;Lieus noirs (Pollachius virens);Fish;;;;;;;
0303651000;HS10;Lieus noirs (Pollachius virens) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303652000;HS10;Lieus noirs (Pollachius virens) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303659000;HS10;Lieus noirs (Pollachius virens) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030366;HS6;Merlus (Merluccius spp.;Fish;;;;;;;
0303661000;HS10;Merlus (Merluccius spp. - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303662000;HS10;Merlus (Merluccius spp. - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303669000;HS10;Merlus (Merluccius spp. - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030367;HS6;Lieus d'Alaska (Theragra chalcogramma);Fish;;;;;;;
0303671000;HS10;Lieus d'Alaska (Theragra chalcogramma) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303672000;HS10;Lieus d'Alaska (Theragra chalcogramma) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303679000;HS10;Lieus d'Alaska (Theragra chalcogramma) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030368;HS6;Merlans bleus (Micromesistius poutassou;Fish;;;;;;;
0303681000;HS10;Merlans bleus (Micromesistius poutassou - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303682000;HS10;Merlans bleus (Micromesistius poutassou - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303689000;HS10;Merlans bleus (Micromesistius poutassou - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030369;HS6;Autres;Fish;;;;;;;
0303691000;HS10;Autres - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303692000;HS10;Autres - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303699000;HS10;Autres - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030381;HS6;Squales;Fish;;;;;;;
0303811000;HS10;Squales - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303812000;HS10;Squales - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303819000;HS10;Squales - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030382;HS6;Raies (Rajidae);Fish;;;;;;;
0303821000;HS10;Raies (Rajidae) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303822000;HS10;Raies (Rajidae) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303829000;HS10;Raies (Rajidae) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030383;HS6;Légines (Dissostichus spp.);Fish;;;;;;;
0303831000;HS10;Légines (Dissostichus spp.) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303832000;HS10;Légines (Dissostichus spp.) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303839000;HS10;Légines (Dissostichus spp.) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030384;HS6;Bars (Dicentrarchus spp.);Fish;;;;;;;
0303841000;HS10;Bars (Dicentrarchus spp.) - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303842000;HS10;Bars (Dicentrarchus spp.) - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303849000;HS10;Bars (Dicentrarchus spp.) - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030389;HS6;Autres poissons congelés;Other fish;;;;;;;
0303891000;HS10;Autres poissons congelés - Type 1;Other fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303892000;HS10;Autres poissons congelés - Type 2;Other fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303899000;HS10;Autres poissons congelés - Autre;Other fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030391;HS6;Foies;Fish;;;;;;;
0303911000;HS10;Foies - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303912000;HS10;Foies - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303919000;HS10;Foies - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030392;HS6;Ailerons de requins;Fish;;;;;;;
0303921000;HS10;Ailerons de requins - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303922000;HS10;Ailerons de requins - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303929000;HS10;Ailerons de requins - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030399;HS6;Autres;Fish;;;;;;;
0303991000;HS10;Autres - Type 1;Fish - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303992000;HS10;Autres - Type 2;Fish - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0303999000;HS10;Autres - Autre;Fish - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304;RANGEE 04;"Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen";;;;;;;;
030410;HS6;Filets de poissons frais;Fish fillets;;;;;;;
0304101000;HS10;Filets de poissons frais - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304102000;HS10;Filets de poissons frais - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304109000;HS10;Filets de poissons frais - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030420;HS6;Filets de poissons congelés;Fish fillets;;;;;;;
0304201000;HS10;Filets de poissons congelés - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304202000;HS10;Filets de poissons congelés - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304209000;HS10;Filets de poissons congelés - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030431;HS6;Tilapias (Oreochromis spp.);Fish fillets;;;;;;;
0304311000;HS10;Tilapias (Oreochromis spp.) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304312000;HS10;Tilapias (Oreochromis spp.) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304319000;HS10;Tilapias (Oreochromis spp.) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030432;HS6;Siluridés (Pangasius spp.;Fish fillets;;;;;;;
0304321000;HS10;Siluridés (Pangasius spp. - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304322000;HS10;Siluridés (Pangasius spp. - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304329000;HS10;Siluridés (Pangasius spp. - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030433;HS6;Perches du Nil (Lates niloticus);Fish fillets;;;;;;;
0304331000;HS10;Perches du Nil (Lates niloticus) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304332000;HS10;Perches du Nil (Lates niloticus) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304339000;HS10;Perches du Nil (Lates niloticus) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030439;HS6;Autres;Fish fillets;;;;;;;
0304391000;HS10;Autres - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304392000;HS10;Autres - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304399000;HS10;Autres - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030441;HS6;Saumons du Pacifique (Oncorhynchus nerka;Fish fillets;;;;;;;
0304411000;HS10;Saumons du Pacifique (Oncorhynchus nerka - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304412000;HS10;Saumons du Pacifique (Oncorhynchus nerka - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304419000;HS10;Saumons du Pacifique (Oncorhynchus nerka - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030442;HS6;Truites (Salmo trutta;Fish fillets;;;;;;;
0304421000;HS10;Truites (Salmo trutta - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304422000;HS10;Truites (Salmo trutta - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304429000;HS10;Truites (Salmo trutta - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030443;HS6;Poissons plats (Pleuronectidae;Fish fillets;;;;;;;
0304431000;HS10;Poissons plats (Pleuronectidae - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304432000;HS10;Poissons plats (Pleuronectidae - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304439000;HS10;Poissons plats (Pleuronectidae - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030444;HS6;Poissons des familles Bregmacerotidae;Fish fillets;;;;;;;
0304441000;HS10;Poissons des familles Bregmacerotidae - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304442000;HS10;Poissons des familles Bregmacerotidae - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304449000;HS10;Poissons des familles Bregmacerotidae - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030445;HS6;Espadons (Xiphias gladius);Fish fillets;;;;;;;
0304451000;HS10;Espadons (Xiphias gladius) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304452000;HS10;Espadons (Xiphias gladius) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304459000;HS10;Espadons (Xiphias gladius) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030446;HS6;Légines (Dissostichus spp.);Fish fillets;;;;;;;
0304461000;HS10;Légines (Dissostichus spp.) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304462000;HS10;Légines (Dissostichus spp.) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304469000;HS10;Légines (Dissostichus spp.) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030447;HS6;Squales;Fish fillets;;;;;;;
0304471000;HS10;Squales - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304472000;HS10;Squales - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304479000;HS10;Squales - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030448;HS6;Raies (Rajidae);Fish fillets;;;;;;;
0304481000;HS10;Raies (Rajidae) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304482000;HS10;Raies (Rajidae) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304489000;HS10;Raies (Rajidae) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030449;HS6;Autres;Fish fillets;;;;;;;
0304491000;HS10;Autres - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304492000;HS10;Autres - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304499000;HS10;Autres - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030451;HS6;Tilapias (Oreochromis spp.);Fish meat;;;;;;;
0304511000;HS10;Tilapias (Oreochromis spp.) - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304512000;HS10;Tilapias (Oreochromis spp.) - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304519000;HS10;Tilapias (Oreochromis spp.) - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030452;HS6;Salmonidés;Fish meat;;;;;;;
0304521000;HS10;Salmonidés - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304522000;HS10;Salmonidés - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304529000;HS10;Salmonidés - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030453;HS6;Poissons des familles Bregmacerotidae;Fish meat;;;;;;;
0304531000;HS10;Poissons des familles Bregmacerotidae - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304532000;HS10;Poissons des familles Bregmacerotidae - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304539000;HS10;Poissons des familles Bregmacerotidae - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030454;HS6;Espadons (Xiphias gladius);Fish meat;;;;;;;
0304541000;HS10;Espadons (Xiphias gladius) - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304542000;HS10;Espadons (Xiphias gladius) - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304549000;HS10;Espadons (Xiphias gladius) - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030455;HS6;Légines (Dissostichus spp.);Fish meat;;;;;;;
0304551000;HS10;Légines (Dissostichus spp.) - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304552000;HS10;Légines (Dissostichus spp.) - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304559000;HS10;Légines (Dissostichus spp.) - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030456;HS6;Squales;Fish meat;;;;;;;
0304561000;HS10;Squales - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304562000;HS10;Squales - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304569000;HS10;Squales - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030457;HS6;Raies (Rajidae);Fish meat;;;;;;;
0304571000;HS10;Raies (Rajidae) - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304572000;HS10;Raies (Rajidae) - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304579000;HS10;Raies (Rajidae) - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030459;HS6;Autres;Fish meat;;;;;;;
0304591000;HS10;Autres - Type 1;Fish meat - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304592000;HS10;Autres - Type 2;Fish meat - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304599000;HS10;Autres - Autre;Fish meat - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030461;HS6;Tilapias (Oreochromis spp.);Fish fillets;;;;;;;
0304611000;HS10;Tilapias (Oreochromis spp.) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304612000;HS10;Tilapias (Oreochromis spp.) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304619000;HS10;Tilapias (Oreochromis spp.) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030462;HS6;Siluridés (Pangasius spp.;Fish fillets;;;;;;;
0304621000;HS10;Siluridés (Pangasius spp. - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304622000;HS10;Siluridés (Pangasius spp. - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304629000;HS10;Siluridés (Pangasius spp. - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030463;HS6;Perches du Nil (Lates niloticus);Fish fillets;;;;;;;
0304631000;HS10;Perches du Nil (Lates niloticus) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304632000;HS10;Perches du Nil (Lates niloticus) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304639000;HS10;Perches du Nil (Lates niloticus) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030469;HS6;Autres;Fish fillets;;;;;;;
0304691000;HS10;Autres - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304692000;HS10;Autres - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304699000;HS10;Autres - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030471;HS6;Morues (Gadus morhua;Fish fillets;;;;;;;
0304711000;HS10;Morues (Gadus morhua - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304712000;HS10;Morues (Gadus morhua - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304719000;HS10;Morues (Gadus morhua - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030472;HS6;Eglefins (Melanogrammus aeglefinus);Fish fillets;;;;;;;
0304721000;HS10;Eglefins (Melanogrammus aeglefinus) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304722000;HS10;Eglefins (Melanogrammus aeglefinus) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304729000;HS10;Eglefins (Melanogrammus aeglefinus) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030473;HS6;Lieus noirs (Pollachius virens);Fish fillets;;;;;;;
0304731000;HS10;Lieus noirs (Pollachius virens) - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304732000;HS10;Lieus noirs (Pollachius virens) - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304739000;HS10;Lieus noirs (Pollachius virens) - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030474;HS6;Merlus (Merluccius spp.;Fish fillets;;;;;;;
0304741000;HS10;Merlus (Merluccius spp. - Type 1;Fish fillets - Type 1;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304742000;HS10;Merlus (Merluccius spp. - Type 2;Fish fillets - Type 2;Alimentation;20.0;1.0;10.0;19.25;=;50.25
0304749000;HS10;Merlus (Merluccius spp. - Autre;Fish fillets - Other;Alimentation;20.0;1.0;10.0;19.25;=;50.25
030475;HS6;Lieus d'Alaska (Theragra chalcogramma);Fish fillets;;;;;;;
