Chapitre;Code_Position_10_chiffres;Designation;Droit_Importation_DI;Taxe_Parafiscale_Importation_TPI;Taxe_Valeur_Ajoutee_TVA;Taxe_Interieure_Consommation_TIC;Formalites_particulieres;Source
29;2909190000;- Autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2909200000;- Ethers cyclaniques, cycléniques, cyclo-terpéniques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2909300040;- - anéthol;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2909410000;- - 2,2'-Oxydiéthanol (diéthylène glycol);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2909430000;- Ethers monobutyliques de l'éthylène glycol ou du diéthylène glycol;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2909440000;- - Autres éthers monoalkyliques de l'éthylène glycol ou du diéthy- lène glycol;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2909490000;- Migration NGP inexistants;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2910200000;Méthyloxiranne (oxyde de propylène);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2910300000;- - - 1-Chloro-2,3-époxypropane (épichlorhydrine);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2910400000;Dieldrine (ISO, DCI);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | HOMOLOGATION OU DISPENSE D'HOMOLOGATION OU AUTORISATION DE VENTE;douane.gov.ma/adil
29;2910500000;Endrine (ISO);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | HOMOLOGATION OU DISPENSE D'HOMOLOGATION OU AUTORISATION DE VENTE;douane.gov.ma/adil
29;2910900000;Autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | HOMOLOGATION OU DISPENSE D'HOMOLOGATION OU AUTORISATION DE VENTE;douane.gov.ma/adil
29;2911000000;Acétals et hémi-acétals, même contenant d'autres fonctions oxygénées, £et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés £;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2912110000;- Méthanal (formaldéhyde);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2912120000;- Ethanal (acétaldéhyde);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2912190010;- - citral et citronellal;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2912190080;- - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2912210000;- Benzaldéhyde (aldéhyde benzoïque);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2912290020;- - aldéhyde cinnamique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2912490000;- Autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2912600000;Paraformaldéhyde;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914110000;- Acétone;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | Certificat d'utilisation finale de stup�fiants et de substances psychtropes;douane.gov.ma/adil
29;2914130000;- - - - 4-Méthylpentane-2-one (méthylisobutyl- cétone);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2914190020;- - acétylacétone;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914310000;- - - phénylacétone (phénylpropane-2-one);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | Certificat d'utilisation finale de stup�fiants et de substances psychtropes;douane.gov.ma/adil
29;2914390020;- - benzylidène acétone;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914390090;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2914400000;Cétones-alcools et cétones-aldéhydes;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914610000;- Anthraquinone;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914690020;- - naphtoquinone;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2914690080;- - - - autres– Dérivés halogénés, sulfonés, nitrés ou nitrosés :;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914790010;- - musc cétone;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2914790090;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2915120000;- Sels de l'acide formique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915130000;"- Esters de l'acide formique£- Acide acétique et ses sels; anhydride acétique :";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915210010;- - acide pyroligneux;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915240000;- Anhydride acétique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS | Certificat d'utilisation finale de stup�fiants et de substances psychtropes;douane.gov.ma/adil
29;2915290010;- - pyrolignites (de calcium, etc);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915290020;- - acétate de sodium;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915290030;- - acétates de cobalt;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915290090;- - autres£- Esters de l'acide acétique :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915310000;- Acétate d'éthyle;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915320000;- Acétate de vinyle;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915330000;- Acétate de n-butyle;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915360000;- Acétate de dinosèbe (ISO);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915391000;- - acétate d'isobutyle;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915399020;- - - de méthyle;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915399030;- - - d'amyle, d'isoamyle, de glycérine;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915399050;- - - 16, 17  Déhydroprégnénolonacétate;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915400000;- - - - Acides mono-, di - ou trichloroacétiques, leurs sels et leurs esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915500000;Acide propionique, ses sels et ses esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915600010;- - acides butanoïques, leurs sels et leurs esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915600090;- - acides pentanoïques, leurs sels et leurs esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915700040;- - stéarates de zinc, de magnésium;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915700090;- - autres sels et esters de l'acide stéarique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2915900010;- - halogénures de l'acide acétique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2916110000;- Acide acrylique et ses sels;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916130000;- Acide méthacrylique et ses sels;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916140000;- Esters de l'acide méthacrylique;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916160000;- Binapacryl (ISO);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916190010;- - acide undécylénique;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916190080;- - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2916200000;- - - - Acides monocarboxyliques cyclaniques, cycléniques ou cycloter- péniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés£- Acides monocarboxyliques aromatiques, leurs anhydrides, halogénures, peroxydes, peroxyacide;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2916340000;- acide phénylacétique et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | Certificat d'utilisation finale de stup�fiants et de substances psychtropes;douane.gov.ma/adil
29;2917130000;- Acide azélaïque, acide sébacique, leurs sels et leurs esters;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917140000;- Anhydride maléique;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917200000;- - - - - - Acides polycarboxyliques cyclaniques, cycléniques ou cycloter- péniques, leurs anhydrides, halogénures, peroxydes, peroxyacides et leurs dérivés£- Acides polycarboxyliques aromatiques, leurs anhydrides, halogé- nures, peroxydes, perox;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917330000;- Orthophtalates de dinonyle ou de didécyle;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917340020;- - orthophtalates de dibutyle;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917340090;- - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917370000;- Téréphtalate de diméthyle;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2917390000;- Autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918150090;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918170000;- - - - - Acide 2,2-diphényl-2-hydroxyacétique (acide benzilique);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918180000;- Chlorobenzilate (ISO);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | HOMOLOGATION OU DISPENSE D'HOMOLOGATION OU AUTORISATION DE VENTE;douane.gov.ma/adil
29;2918190010;- - acide malique, ses sels et ses esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918190040;- - - acides-alcools acycliques;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918190050;- - acide phenylglycolique (acide mandelique), ses sels et ses esters£- - - acides-alcools cycliques :;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918210010;- - acide salicylique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918220000;- - Acide O-acétylsalicylique, ses sels et ses esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918291000;- - acides di- et tri- chlorophénoxyacétiques;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918299020;- - - acide parahydroxybenzoïque, ses sels et ses esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918299040;- - - sels et esters de l'acide gallique;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918299050;- - - - acides hydroxynaphtoïques, leurs sels et leurs esters;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918299060;- - - acide acétylsalicylique, ses sels et ses esters;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918300020;- - acétylacétate d'éthyle et ses sels;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2918300090;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2918910000;- 2,4,5T (ISO) (acide 2,4,5trichlorophénoxyacétique), ses sels;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2919100000;Phosphate de tris (2,3dibromopropyle);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2919901000;- - acide inositohexaphosphorique, inositohexaphosphates, lactophosphates.;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2919909010;- - - tributylphosphate, triphénylphosphate, trixylénylphosphates, trichloréthyl phosphate;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2919909090;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import.;douane.gov.ma/adil
29;2920110000;- Parathion (ISO) et parathionméthyle (ISO) (méthyle parathion);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920230000;- - - - Phosphite de triméthyle;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920300000;- - - - - - Endosulfan (ISO);2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920901020;- - - trinitroglycérine, tétranitropentaérythrite (penthrite);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2920909017;- - - - - - autres;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920909021;- - - - carbonate de gaïacol;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920909029;"- - - - - - autres£- - - - phosphite de triméthyle ; phosphite de diméthyle ; phosphite de diéthyle et phosphite de triéthyle :";2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2920909091;- - - - esters siliciques;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
29;2921130000;- - - - chlorhydrate de 2-chloroéthyl (N,N-diéthylamine);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921199020;"- - - ""isopropylamine et ses sels– – – – bis (2-chloroéthyl) éthylamine ;chlorméthine (DCI) (bis (2-chloroéthyl) méthylamine) ;trichlorméthine (DCI) (tris (2-chloroéthyl) amine) et amines de N,N-dialkyl (méthyl, éthyl, n-propyl ou is";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921199032;- - - - chlorméthine (DCI) (bis (2chloroéthyl) méthylamine);2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | LICENCE D'IMPORTATION | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921199037;- - - - amines de N,N-dialkyl (méthyl, éthyl, n-propyl ou isopropyl) 2-chloroéthyle et leurs sels protonés;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921199090;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921210000;- Ethylènediamine et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921220000;- Hexaméthylènediamine et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921300000;"""Monoamines et polyamines cyclaniques, cycléniques ou cycloterpéniques, £et leurs dérivés; sels de ces produits""";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921420010;- - trinitroanilines, tétranitroanilines;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921430000;"- Toluidines et leurs dérivés; sels de ces produits";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921440000;"- ""Diphénylamine et ses dérivés; sels de ces produits""";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921450000;"- ""1-Naphtylamine (alpha- naphtylamine), 2-naphtylamine (bêtanaphtylamine) £et leurs dérivés; sels de ces produits""";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921460020;- - benzfétamine (DCI) et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921460060;- - léfétamine (DCI)  et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921460070;- - lévamfétamine (DCI)  et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921460080;- - méfénorex (DCI)  et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921460090;- - phentermine (DCI)  et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921490020;- - xylidines, leurs dérivés halogénés, sulfonés, nitrés ou nitrosés, et leurs sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921490090;"- - autres£- Polyamines aromatiques et leurs dérivés; sels de ces produits :";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921510010;"- - - - o- Phénylènediamine et ses dérivés ; sels de ces produits";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921510020;"- - - - m- Phénylènediamine et ses dérivés ; sels de ces produits";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921510030;"- - - - p- Phénylènediamine et ses dérivés ; sels de ces produits";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2921510090;"- - diaminotoluènes et leurs dérivés ; sels de ces produits";2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION D'IMPORTATION POUR LES EXPLOSIFS;douane.gov.ma/adil
29;2922150000;- Triéthanolamine;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922160000;- - Sulfonate de perfluorooctane de diéthanolammonium;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922190012;- - - - N,N-diéthyl-2-aminoéthanol et ses sels protonés;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922210000;- Acides aminonaphtolsulfoniques et leurs sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922299010;- - - monoaminophénols, leurs dérivés et leurs sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922299090;- - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922310020;- - méthadone (DCI) et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922420000;- Acide glutamique et ses sels;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922490020;- - acide amino-acétique;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922490090;- - - - autres;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2922500010;- - acide paraaminosalicylique, ses sels et ses esters;2.5 %;0.25 %;20 %;;Documents et Normes à l'Import. | AUTORISATION DMP;douane.gov.ma/adil
29;2923300000;- - - - Sulfonate de perfluorooctane de tétraéthylammonium;2.5 %;0.25 %;20 %;;"Documents et Normes à l'Import. | ""AUCUN DOCUMENT A PRéSENTERETAUCUNE NORME A RESPECTER.""";douane.gov.ma/adil
